Provincia,Grupo ME,Abonados pre fusion,Share pre fusion,Abonados post fusion,Share post fusion
BUENOS AIRES,Flow,"1,681,772",32.61%,"2,609,219",50.60%
BUENOS AIRES,Movistar,"927,447",17.98%,0,0.00%
CABA,Flow,"565,026",42.50%,"716,295",53.88%
CABA,Movistar,"151,269",11.38%,0,0.00%
CHUBUT,Flow,127,0.08%,"65,520",43.66%
CHUBUT,Movistar,"65,393",43.58%,0,0.00%
CORDOBA,Flow,"409,682",44.71%,"410,012",44.74%
CORDOBA,Movistar,330,0.04%,0,0.00%
ENTRE RIOS,Flow,"147,681",54.49%,"149,820",55.28%
ENTRE RIOS,Movistar,"2,140",0.79%,0,0.00%
FORMOSA,Flow,"32,780",41.92%,"33,169",42.42%
FORMOSA,Movistar,389,0.50%,0,0.00%
LA PAMPA,Flow,"17,776",23.07%,"23,245",30.16%
LA PAMPA,Movistar,"5,469",7.10%,0,0.00%
MENDOZA,Flow,"11,606",3.91%,"111,759",37.66%
MENDOZA,Movistar,"100,153",33.75%,0,0.00%
NEUQUEN,Movistar,"42,385",28.18%,0,0.00%
NEUQUEN,Flow,"27,803",18.48%,"70,188",46.66%
RIO NEGRO,Flow,"27,583",18.64%,"81,141",54.83%
RIO NEGRO,Movistar,"53,558",36.19%,0,0.00%
SAN JUAN,Flow,"7,172",5.60%,"65,586",51.21%
SAN JUAN,Movistar,"58,414",45.61%,0,0.00%
SAN LUIS,Movistar,"16,321",16.53%,0,0.00%
SAN LUIS,Flow,"2,974",3.01%,"19,295",19.54%
TIERRA DEL FUEGO,Flow,830,1.61%,"20,050",38.82%
TIERRA DEL FUEGO,Movistar,"19,220",37.22%,0,0.00%
